predictedValue,RealValue,ErrorPercent
'29.62707478136595','25.12761905','17.906414938927327'
'28.668347423855263','28.46863636','0.7015125745041526'
'29.28667304677176','23.35956522','25.373365347130207'
'28.52381833999274','25.47727273','11.957895345703044'
'28.671758350055846','28.87157895','0.6921013924808355'
'29.505442850112843','42.61444444','30.76187373120464'
'26.779996124722555','24.46391304','9.467345150122203'
'30.8692127159324','30.97961538','0.35637196496272217'
'31.033021510533086','36.49884615','14.975335431163797'
'27.144399795451704','26.14166667','3.8357658603398646'
'30.7274304137286','30.5865','0.46076018416164227'
'24.999999661757457','23.35722222','7.033274018135603'
'27.931170537378637','27.73142857','0.7202729093975375'
'27.05877020417952','20.02576923','35.119754419438685'
'28.98695906565545','24.85576923','16.620647695221024'
'30.18344179746128','30.88421053','2.2690194131982544'
'28.147752681148862','24.2853125','15.904428576526913'
'34.00654196326411','34.2068','0.5854334130520505'
'29.539128211342057','34.8176','15.160355075185947'
'27.668312316503602','21.83590909','26.710146128858064'
'29.62707478136595','30.0385','1.369659665542723'
'28.668347423855263','30.0647619','4.644688292524737'
'29.28667304677176','29.48695652','0.6792273495312885'
'28.52381833999274','37.94714286','24.832764234116727'
'31.731230337083545','22.7','39.785155669971566'
'33.155029182961215','34.10285714','2.7793212549544832'
'26.779996124722555','25.86761905','3.5271010948437342'
'30.8692127159324','41.48727273','25.593535837291952'
'31.033021510533086','40.75913043','23.862405347853525'
'27.144399795451704','26.3024','3.2012280075267117'
'30.7274304137286','26.2696','16.96954050967126'
'24.999999661757457','18.24411765','37.030467251769'
'29.594690611716665','24.65238095','20.048001333991486'
'27.328024154687796','19.45454545','40.4711522298137'
'27.48583875350137','24.18090909','13.667516184774545'
'27.900199735986185','20.63892857','35.18240368611433'
'28.6422795144037','29.45875','2.7715720646541286'
'29.539128211342057','23.08375','27.965032593673296'
'27.632196633733066','19.34684211','42.82535866383346'
'29.62707478136595','20.49545455','44.5543679408952'
'28.668347423855263','19.92038462','43.91462800910148'
'29.28667304677176','28.04571429','4.424771442580937'
'28.52381833999274','26.10454545','9.267630783407265'
'31.731230337083545','18.64217391','70.21207124380669'
'29.505442850112843','29.08882353','1.432231591226693'
'26.779996124722555','21.22227273','26.188163093701576'
'30.8692127159324','30.79692308','0.23473005970309319'
'31.033021510533086','29.33769231','5.778672646161802'
'27.144399795451704','20.05916667','35.32167234069702'
'30.7274304137286','27.81869565','10.456042944373644'
